site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,median_income,christian_p,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9
臺北市北投區,0.8869,0.7557,0.487,0.3664,0.5309,0.0749,0.6646,0.1367,0.3293,41.5722,41.2402,0.4119,699,0.1029,0.42342342342342343,0.3544018058690745,0.1780821917808219,-0.001310615989515072,-0.1951219512195122,-0.19452054794520549,0.2054176072234763,0.5990783410138248,0.5127610208816705,0.5458715596330275
臺北市大安區,0.9441,0.8605,0.6445,0.5283,0.5564,0.0636,0.6782,0.1177,0.2792,42.8763,43.4713,0.5908,861,0.2579,0.323943661971831,0.25688795591708213,0.1721784776902887,-0.16696867719389075,-0.2604467805519054,-0.2378449408672799,0.1670682730923695,0.5157430730478589,0.4293381037567084,0.5220905172413793
臺北市大同區,0.8785,0.7384,0.4483,0.3297,0.5128,0.0823,0.6558,0.1288,0.3246,42.3179,42,0.5041,650,0.0685,0.35364572389157384,0.2566338838374467,0.15422322775263952,0.07670273711012095,-0.1870026525198939,-0.18689280421537954,0.07955584585238407,0.47058823529411764,0.42391304347826086,0.4754025044722719
臺北市南港區,0.8806,0.7508,0.4768,0.3563,0.5327,0.0753,0.6679,0.139,0.3447,40.9692,40.72,0.3442,689,0.0957,0.3292065749299427,0.23571207908557307,0.158852344296711,-0.09454702205618219,-0.22870806410396816,-0.21632872297569491,0.1391272654981611,0.5439466749341187,0.5049628987183193,0.5387883347346993
臺北市內湖區,0.918,0.8057,0.5448,0.4137,0.5443,0.0689,0.6606,0.1511,0.3498,39.8441,39.9311,0.2493,773,0.0838,0.3217587373167982,0.23767848917549517,0.22303140646335912,-0.1169016598250937,-0.24855072463768116,-0.23705722070844687,0.162630890052356,0.5894909688013136,0.5492093462355441,0.5770760233918129
臺北市士林區,0.8858,0.762,0.4924,0.3734,0.5318,0.0703,0.6621,0.1354,0.3223,42.4423,42,0.5203,699,0.1229,0.3282040008793141,0.15381185911725367,0.1338967971530249,-0.00914235959947758,-0.24937937260212142,-0.20009074410163338,0.10803537101114956,0.5054585152838428,0.47656813266041814,0.48040571692023976
臺北市松山區,0.9374,0.8466,0.6101,0.4795,0.551,0.0658,0.6747,0.1231,0.2912,42.4282,43,0.5176,814,0.0844,0.23529411764705882,0.16632102861883036,0.08647083160943318,-0.08685064935064934,-0.18878812860676009,-0.15440210249671485,0.09324324324324325,0.4890572390572391,0.44742443593018305,0.4671135316296607
臺北市萬華區,0.8527,0.6954,0.4018,0.2926,0.4862,0.1001,0.6589,0.1294,0.3201,43.7099,43.5458,0.6911,615,0.0802,0.3695198329853862,0.28082098681527795,0.1633602407990149,-0.05072026800670017,-0.2691565600882029,-0.23637862991105613,0.13729681084425446,0.5363836824696803,0.49047745593055186,0.5221643792396277
臺北市文山區,0.9152,0.8045,0.5471,0.4236,0.5374,0.0712,0.6654,0.1382,0.3187,41.2471,41.4738,0.3713,763,0.2703,0.3368370759675107,0.322202166064982,0.1688073394495413,-0.17463617463617465,-0.25949367088607594,-0.24737210932025228,0.19562243502051985,0.5579641847313855,0.5090218423551757,0.5099526066350711
臺北市信義區,0.909,0.8066,0.5439,0.4174,0.5327,0.072,0.6663,0.1316,0.3168,43.1235,43,0.626,729,0.1069,0.3076854254272166,0.25393905462688954,0.18064979643969026,-0.1438919489926809,-0.24061641745498932,-0.2286714306548053,0.18232942611288028,0.5515937331172339,0.5051215103434424,0.5427671207487721
臺北市中山區,0.9148,0.8061,0.5431,0.4182,0.5129,0.0899,0.6584,0.1244,0.3115,43.0441,43.1065,0.6179,730,0.1235,0.2979824408395837,0.23636966248688063,0.15453285278624895,-0.08735318791946309,-0.2111211333368706,-0.20609165955024195,0.14948185302607297,0.5330838123245556,0.4874722486520774,0.5192768199233716
臺北市中正區,0.9291,0.8264,0.5922,0.4746,0.5518,0.0675,0.6763,0.1213,0.3009,41.5128,41.6247,0.3984,816,0.1649,0.33326810176125243,0.2768959435626102,0.20678841542150894,-0.17906382978723404,-0.2676153514445882,-0.24665391969407266,0.19738294182563457,0.5740286562540338,0.4960027806743135,0.5589629779077978
臺東縣卑南鄉,0.7531,0.4987,0.1735,0.1155,0.4222,0.1268,0.648,0.1577,0.307,43.1094,44,0.6233,540,0.1273,0.59294265910523,0.4307496823379924,0.2634534394010295,-0.08788159111933395,-0.47763347763347763,-0.41343795978420794,0.1836734693877551,0.5780308104487609,0.5365686944634313,0.5329260013577732
臺東縣成功鎮,0.6611,0.4038,0.1452,0.0972,0.4506,0.1164,0.6723,0.1325,0.2886,45.0649,46.0302,0.8049,523,0.4807,0.6115942028985507,0.5138632162661737,0.22002756086357372,-0.26082771896053897,-0.5480444229840656,-0.530581800099453,0.24665981500513876,0.5876606683804627,0.5262615859938208,0.5416238437821171
臺東縣池上鄉,0.7183,0.4768,0.173,0.1133,0.4486,0.1101,0.6772,0.1341,0.2659,45.6955,46.75,0.8618,526,0.0804,0.5390946502057613,0.30713547052740436,0.09072375127421,-0.15594541910331383,-0.4420946626384693,-0.38979591836734695,0.14167528438469493,0.5524861878453039,0.504225352112676,0.43200962695547535
臺東縣達仁鄉,0.6872,0.4218,0.1453,0.0914,0.4269,0.1274,0.6515,0.1625,0.3345,41.4746,42,0.3957,588,0.4834,0.6245572609208973,0.5289940828402366,0.44285714285714284,-0.40797940797940796,-0.579746835443038,-0.559539052496799,-0.056910569105691054,0.5676625659050967,0.519434628975265,0.5368421052631579
臺東縣大武鄉,0.7193,0.4411,0.1524,0.1005,0.4259,0.1388,0.6669,0.1436,0.313,42.7665,43,0.5664,541,0.304,NaN,NaN,NaN,NaN,-0.5512820512820513,-0.5294117647058824,0.0684931506849315,NaN,NaN,NaN
臺東縣東河鄉,0.6719,0.4034,0.1357,0.0902,0.4275,0.1231,0.6763,0.104,0.2493,47.4733,49,0.9566,504,0.33,0.5988414192614048,0.46745562130177515,0.25274725274725274,-0.21258633921719108,-0.5228346456692914,-0.4358974358974359,0.14262159934047816,0.5603305785123966,0.5498338870431894,0.49379652605459057
臺東縣關山鎮,0.7446,0.5237,0.2039,0.1461,0.4455,0.1051,0.6533,0.1544,0.2935,43.8688,45,0.71,550,0.1673,0.5392902408111534,0.40480708412397215,0.20600447141488343,-0.25773195876288657,-0.4701397712833545,-0.4050225370251127,0.23908794788273616,0.6420509513060303,0.5902342461233916,0.5598958333333334
臺東縣海端鄉,0.7489,0.4852,0.1544,0.0998,0.4193,0.0823,0.6083,0.1921,0.3955,35.77,35,0.0081,589,0.4972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
臺東縣金峰鄉,0.7762,0.4898,0.1619,0.1025,0.4239,0.1259,0.6322,0.1907,0.3552,37.9639,37.9286,0.084,599,0.5061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
臺東縣蘭嶼鄉,0.8418,0.5549,0.1925,0.1501,0.4582,0.0814,0.595,0.198,0.427,36.4572,36,0.0217,606,0.2616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
臺東縣鹿野鄉,0.7161,0.4669,0.1649,0.1128,0.4604,0.1115,0.6759,0.1378,0.2796,45.2013,46.3125,0.8184,541,0.0708,0.5163472378804961,0.35895986433013,0.15358361774744028,-0.12834516657564174,-0.4204322200392927,-0.3786213786213786,0.18415637860082304,0.5231400117164616,0.5050806933652122,0.5092097445038621
臺東縣綠島鄉,0.8296,0.6314,0.298,0.2087,0.503,0.0791,0.6391,0.1857,0.3967,39.5553,39,0.2168,698,0.0091,0.4117647058823529,0.34615384615384615,0.2,-0.22772277227722773,-0.26732673267326734,-0.34490238611713664,0.16299559471365638,0.5053763440860215,0.4838709677419355,0.5531914893617021
臺東縣臺東市,0.8336,0.6315,0.2942,0.2079,0.4511,0.1039,0.6337,0.1663,0.3276,40.7342,41,0.3306,602,0.101,0.49971639251276234,0.39750849377123443,0.19760479041916168,-0.17544663307375172,-0.4162826420890937,-0.37684537684537683,0.1636940150614348,0.6316736652669466,0.5632183908045977,0.5500303214069133
臺東縣太麻里鄉,0.7006,0.4374,0.1463,0.0971,0.445,0.1238,0.6731,0.1452,0.3014,43.7523,44.2705,0.6965,550,0.733,0.6418242491657397,0.49099099099099097,0.3042505592841163,-0.04665825977301387,-0.47474747474747475,-0.4386973180076628,0.08196721311475409,0.42789598108747046,0.4081145584725537,0.36018957345971564
臺東縣延平鄉,0.7521,0.4769,0.1724,0.1142,0.4251,0.1047,0.6271,0.1681,0.3631,36.8147,37.5,0.0271,557,0.388,0.7142857142857143,0.5879396984924623,0.5175879396984925,-0.3870967741935484,-0.625,-0.6149732620320856,0.18681318681318682,0.6174863387978142,0.6,0.5409836065573771
臺東縣長濱鄉,0.6185,0.3389,0.1089,0.0764,0.4308,0.115,0.6741,0.1075,0.2356,48.1481,50.0984,0.9756,487,0.5055,0.6473429951690821,0.41605839416058393,0.23404255319148937,-0.2727272727272727,-0.5743589743589743,-0.5197889182058048,0.20833333333333334,0.7377049180327869,0.6363636363636364,0.5371900826446281
臺南市安定區,0.7826,0.5793,0.2791,0.2081,0.5224,0.0696,0.6684,0.1582,0.345,41.627,41,0.4173,563,0.0149,0.509126649817467,0.39873171994305684,0.25938346446536825,0.08491928074550466,-0.37473060344827586,-0.34149261673539977,0.16263861245379585,0.5696789142667991,0.48906828119744367,0.5322483423749247
臺南市安南區,0.8202,0.6251,0.3197,0.2441,0.5038,0.0799,0.6413,0.1671,0.3853,38.706,38.0657,0.1247,569,0.0241,0.4577473710883061,0.34628471078915596,0.2511235339252439,0.09188010899182561,-0.3364180115111161,-0.2864457540334267,0.2202517688137462,0.5595471698113208,0.4786729857819905,0.517193947730399
臺南市安平區,0.8951,0.7376,0.4116,0.3039,0.4789,0.1054,0.6336,0.1632,0.342,39.1555,40,0.1653,646,0.1516,0.49504950495049505,0.4230769230769231,0.297029702970297,0.22018348623853212,-0.38219895287958117,-0.3541666666666667,0.15976331360946747,0.49700598802395207,0.5808383233532934,0.4823529411764706
臺南市白河區,0.7276,0.5175,0.2216,0.1546,0.5005,0.084,0.6952,0.1308,0.2743,47.0516,48.4937,0.9377,533,0.0586,0.5187606594656055,0.3609656777196044,0.21577726218097448,0.1840066408411732,-0.3596597812879708,-0.28798666868656264,0.1485771012574454,0.5186751233262861,0.45582655826558266,0.4827864877969937
臺南市北門區,0.7153,0.4762,0.1987,0.1439,0.5159,0.0843,0.7056,0.121,0.286,45.4952,47,0.8482,522,0.0103,0.5899950956351152,0.43384001993521054,0.2866716306775875,0.12198685171658144,-0.3552254365389627,-0.4030398322851153,0.18997436627741385,0.5925820256776034,0.5183033120278907,0.5178113422627529
臺南市北區,0.862,0.7186,0.4256,0.3237,0.4907,0.0854,0.6417,0.1445,0.3304,41.2761,41.1751,0.3767,644,0.0768,0.4278376990241397,0.33954644299471887,0.2508921644685803,0.007948717948717949,-0.30188186095138525,-0.28279181708784595,0.16688948306595366,0.4388703084355258,0.49133383571966843,0.5404699738903395
臺南市大內區,0.6955,0.5001,0.1989,0.132,0.5124,0.0916,0.7156,0.1212,0.2518,47.8112,49.2286,0.9675,517,0.0445,0.5685703892324482,0.4123788217747949,0.25337331334332835,0.1732566498921639,-0.39014855355746675,-0.33749025720966486,0.1694433157253149,0.5951020408163266,0.518796992481203,0.5156186612576065
臺南市東區,0.9083,0.7851,0.4988,0.3809,0.5027,0.0774,0.6356,0.1565,0.3263,40.2729,40.7499,0.2818,697,0.1172,0.42630651790957136,0.34478338887464755,0.26021063447212944,0.05019108280254777,-0.33007209062821835,-0.27425786442179884,0.12247324613555291,0.4951758481170246,0.43734177215189873,0.47573415765069554
