site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
苗栗縣三義鄉,0.1958,0.6713,42.1593,56.9,44.02,39.99,34.31,19.1,14.19,15.6,31.65,45.99,44.09,44.75,7722
苗栗縣獅潭鄉,0.1064,0.7297,52,54.1,39.44,35.33,29.39,17.01,10.99,12.53,29.01,39.11,36.39,36.54,1876
苗栗縣泰安鄉,0.0838,0.7135,42,57.9,52.47,46.33,39.23,20.81,14.03,15,33.73,48.61,46.81,46.22,3134
苗栗縣通霄鎮,0.1675,0.6754,44,53.4,40.46,36.08,31.77,23.18,14.53,15.34,27.8,38.08,35.15,36.24,14596
苗栗縣銅鑼鄉,0.1883,0.6789,44,57.5,40.91,37.27,31.02,18.93,14.19,15.21,31.61,43.61,41.78,41.43,8198
苗栗縣頭份市,0.2543,0.671,38,62.2,41.68,38.47,34.21,19.55,15.33,16.05,31.22,43.22,41.8,42.17,44639
苗栗縣頭屋鄉,0.1828,0.6907,44.86,58.3,48.66,45.45,38.04,24.32,16.89,18.01,36.53,50.76,48.27,45.52,5778
苗栗縣西湖鄉,0.1519,0.7132,49,58.3,41.63,36.68,30.95,19.01,14.53,15.47,29.6,42.68,40.52,40.3,3341
苗栗縣苑裡鎮,0.1747,0.6652,41,52.5,42.59,37.92,32.88,25.93,14.81,16.06,29.78,41.14,38.4,40.19,20449
苗栗縣造橋鄉,0.1914,0.6824,43,55.9,42.88,38.32,32.79,20.69,14.63,15.38,30.71,43.02,41.15,41.36,5900
苗栗縣竹南鎮,0.2757,0.6678,37.7051,63.5,40.55,37.44,33.24,22.14,16.34,17.07,30.75,42.64,40.88,41.49,36217
苗栗縣卓蘭鎮,0.1695,0.6887,44.9157,54,43.16,38.16,33.64,24.76,15.21,15.85,32.33,43.88,41.32,41.08,8003
南投縣埔里鎮,0.1802,0.6484,42.9468,51.4,43,37.97,33.32,21.24,14.39,15.86,32.12,44.66,42.73,42.35,36804
南投縣草屯鎮,0.2276,0.653,41,56.6,42.47,38.35,33.5,23.63,15.85,17.36,33.1,44.65,42.81,42.98,45159
南投縣國姓鄉,0.1183,0.6911,47.4924,47.8,42.71,37.95,31.58,21.67,13.73,13.67,31.11,43.17,39.89,40.23,8655
南投縣集集鎮,0.1605,0.6932,46.3654,57.6,41.97,37.31,31.11,23.25,15.27,16.25,32.16,42.33,41.72,40.82,5113
南投縣鹿谷鄉,0.161,0.715,48,54.7,40.6,35.71,29.21,21.5,15.94,14.28,30.07,41.05,38.84,38.63,7926
