site_id,College Degree (%),Ever Married (%),Median Age,Median Income (10k NTD),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,Valid Voters
"Cianjin, Kaohsiung",0.3525,0.6464,48,63.8,0.722172008621289,0.6810913171552813,0.6312384473197782,0.5063422749012269,0.33530472412549583,0.3468157722750708,0.5782312925170068,0.7590699083541619,0.7371376536651996,0.7414497578692494,13203
"Cianjhen, Kaohsiung",0.2602,0.641,42.3948,61.4,0.7357467326753938,0.690653100628044,0.6388433964924458,0.4953931700378245,0.32543151509745327,0.3400157232704403,0.5933897537700693,0.7783795772099593,0.7485117296877574,0.7638234434375913,85669
"Ciaotou, Kaohsiung",0.2513,0.6595,42,61.2,0.7512955974842768,0.6985260366195747,0.6457810338644397,0.5506743156199678,0.3219439728353141,0.33863709418193505,0.5751590594744121,0.7738963531669866,0.744383896797153,0.7594725421465531,18235
"Renwu, Kaohsiung",0.243,0.6553,39.2143,61.4,0.7503885827327964,0.6980873347991583,0.6355160091819106,0.5006392348122544,0.3185508300012117,0.3174772848743987,0.6056582858870359,0.7957629674306393,0.7628594572701498,0.7781812679679225,39792
"Shanlin, Kaohsiung",0.0889,0.6998,49,50.6,0.8042969580940226,0.7160334835801674,0.6183873720136519,0.47971560016729403,0.25843188786684185,0.33148788927335643,0.5911446066886481,0.770901447921532,0.7536163149158169,0.730887573964497,4282
"Taoyuan, Kaohsiung",0.1254,0.6319,36,58.4,0.833890214797136,0.7469935245143385,0.6694405917706888,0.2983124659771366,0.2230378317334839,0.2098092643051771,0.6183574879227053,0.8144768856447688,0.7867647058823529,0.7582619339045288,1644
"Tianliao, Kaohsiung",0.0973,0.7386,52.6228,49.9,0.8062418725617685,0.703150912106136,0.6179369250985546,0.5776241357636707,0.31030927835051547,0.3115665161514415,0.6055177355786456,0.7733576642335767,0.7254974207811349,0.7411074440777411,2740
"Siaogang, Kaohsiung",0.2329,0.6499,39.3147,61.9,0.7398523264445053,0.6921473703649963,0.6239917895817161,0.4958343720069799,0.32892836413212206,0.34173848137341384,0.5937768029133449,0.7850380780073211,0.753049985879695,0.7779280612029249,71301
"Sinsing, Kaohsiung",0.3596,0.6459,46,63.7,0.7145393349853904,0.6687979539641944,0.6297099282296651,0.5139074817789677,0.348235657478187,0.36505237119777373,0.5680655475619505,0.7646014843497903,0.7258464414908751,0.7393540093202635,24792
"Yancheng, Kaohsiung",0.2732,0.636,48,56.6,0.7121079793568876,0.667337411461687,0.641175528507367,0.5514319340918007,0.38166735794276235,0.387973086627418,0.5671498428222145,0.7510236781199929,0.717566118656183,0.7384464984002844,11234
"Yanchao, Kaohsiung",0.1789,0.6613,43,54.6,0.7561674470612901,0.6999294283697953,0.6280449057403092,0.5017041107324198,0.30550749711649366,0.3197847742310769,0.606328349191965,0.7932094138809773,0.7526889865171944,0.7617963890153239,13342
"Yong-an, Kaohsiung",0.1972,0.6811,41.0721,54.9,0.7643180881747013,0.6970033296337403,0.6061946902654868,0.4883848045914184,0.2989399293286219,0.3296906045983537,0.6024963289280469,0.7725290697674418,0.7306784660766962,0.7567647058823529,6880
"Zihguan, Kaohsiung",0.1905,0.6468,42,53.6,0.7717277486910995,0.724354657687991,0.654716032836321,0.5205271160669032,0.31254761765223,0.31063930731823036,0.589507507878638,0.7866831072749692,0.7430080795525171,0.7567886658795749,16220
"Zuoying, Kaohsiung",0.3086,0.6476,41,70.9,0.7260357727621298,0.6967287336462703,0.6554070929070929,0.42737017379540015,0.31743164114390165,0.3246491497915584,0.6185581743030516,0.8026700864818651,0.774121522289403,0.7843361944533204,91233
"Fongbin, Hualien",0.0638,0.6721,48.1364,48.7,0.7734643734643735,0.7096615988229524,0.621515892420538,0.39327146171693733,0.27986151182919794,0.30110017371163866,0.588603631809643,0.7620221948212084,0.7441269841269841,0.7123028391167192,1622
"Fonglin, Hualien",0.1439,0.6874,49,53.9,0.8,0.722467845659164,0.6208215867901732,0.36134453781512604,0.2545081967213115,0.2722609766105868,0.6137246439361242,0.813358302122347,0.8019927920288319,0.7988602785985648,4806
"Fuli, Hualien",0.0906,0.6793,48,49.5,0.7964884277733439,0.6944444444444444,0.5621364357482813,0.39026942191995817,0.24523233951114692,0.2774349342634827,0.6033946251768034,0.798079561042524,0.7719200887902331,0.7507700924110894,3645
"Guangfu, Hualien",0.119,0.6645,48.2247,51.6,0.8089285714285714,0.7351052443810203,0.6291296625222025,0.35913254813983925,0.2390636991557943,0.25786042944785276,0.6126874746655857,0.7911171450737006,0.7726377952755905,0.7623645320197044,5156
"Hualien, Hualien",0.262,0.6446,40.4204,60.3,0.7628059095522725,0.7035354803368863,0.6288234489674979,0.3521014706885186,0.28071709663314387,0.2993496381789869,0.6212898323597853,0.8180190236982255,0.7974916309114055,0.8056616595974035,42999
"Ji-an, Hualien",0.2252,0.644,42,58.7,0.7807696500599586,0.7115935640290941,0.6166703080620494,0.34393167102906735,0.26051865205935376,0.2822854305183877,0.618816292506252,0.8155071248952221,0.79837545637223,0.8045625654524355,35790
"Rueisuei, Hualien",0.1231,0.6604,47,52,0.8155041930865208,0.7318331957060281,0.6197417742607247,0.3621311823392061,0.22560841920631441,0.24749236807675534,0.6136783733826248,0.7989394608926205,0.7731679819616686,0.7731282515268039,4526
"Shoufong, Hualien",0.1497,0.67490000000000006,46,52.4,0.7831991347193847,0.7070843019699009,0.6060128500424294,0.3953545836422041,0.26858066119811086,0.2929580957103893,0.5786677034733022,0.7841222138742799,0.7603927569497577,0.7564720812182741,7986
"Wanrong, Hualien",0.0957,0.6057,36,51.9,0.8089887640449438,0.7197278911564626,0.6288520149001016,0.37257824143070045,0.24878776575904513,0.25169555388093445,0.5866993064055488,0.749699639567481,0.7298501417577967,0.7042707493956487,2497
"Sincheng, Hualien",0.1692,0.6457,40.0094,60.9,0.776735247569523,0.7152257771726799,0.6011402508551882,0.3644328137444533,0.27071503071039515,0.2853681052388645,0.6169267707082833,0.8155305692199578,0.7876210725253957,0.7761387774368657,8538
"Sioulin, Hualien",0.0995,0.6103,34.86,52.7,0.7852512155591572,0.699565986175856,0.5994852822904938,0.3950596538396908,0.26682211858760824,0.2813953488372093,0.6270379190327899,0.7992396813902969,0.7734545454545455,0.7447973713033954,5524
"Yuli, Hualien",0.1418,0.6319,46,55.7,0.8100010662117496,0.7337467921300257,0.6364905498281787,0.3639336867035074,0.2616232349902422,0.27345173041894355,0.60850192678227355,0.7966101694915254,0.7728512151748667,0.7657082002129926,8614
"Jhuosi, Hualien",0.102,0.6199,36.6351,53.8,0.8211968276856525,0.7525436046511628,0.6186561829878484,0.3121797398502168,0.21540265832681782,0.22613065326633167,0.5981794538361509,0.7857737104825291,0.7662173546756529,0.7693293464331482,2404
"Anle, Keelung",0.2366,0.6408,42,61.9,0.711141060197664,0.6640773396081989,0.5974118316268487,0.41881115321531587,0.3531657833247849,0.35239567233384855,0.6038216187745069,0.798121929238015,0.7846827133479213,0.7901454005070078,34397
"Nuannuan, Keelung",0.2188,0.638,42,59.8,0.7167539267015707,0.6627886684893258,0.6066748927669076,0.42488815634565574,0.3485428319105093,0.34899209133614795,0.5999135215269628,0.8030674846625767,0.7826863832409119,0.7832750904297713,16300
"Cidu, Keelung",0.2115,0.6426,42,57.1,0.7259437141894169,0.6715337734890807,0.6139676369935358,0.45073008282811033,0.3377649242456943,0.34669607334371216,0.5897619153973288,0.7852544316077256,0.765256757356531,0.7639496355202121,22678
"Ren-ai, Keelung",0.2175,0.6586,44,57.4,0.7255254937258432,0.6742728587497991,0.6068881081656553,0.46638722343078476,0.33702262889704676,0.35142715723477974,0.579639029892837,0.7814392886913032,0.7626137768288572,0.7682797794731859,17995
"Sinyi, Keelung",0.2502,0.6346,43.5365,60.1,0.7154774507728139,0.6682345961522163,0.6095794093833894,0.399452804377565,0.3314793256586039,0.3403546712802768,0.6082437275985663,0.8124448367166813,0.8056527590847914,0.798270126413839,22660
"Jhongshan, Keelung",0.1911,0.6335,44.0334,57.5,0.7247623574144487,0.6690431155730152,0.6031215161649944,0.44571596244131456,0.33502109704641353,0.34148144497560495,0.589185033316248,0.780774690732103,0.7663551401869159,0.7721988120018277,19724
"Jhongjheng, Keelung",0.2026,0.6409,44.3246,56.9,0.7432627526467758,0.676747116409809,0.5988239296301696,0.43097105237680317,0.32275211127670145,0.3463102559016068,0.5868469765528589,0.788982495081471,0.7816497799611094,0.7744345616264294,19823
"East, Chiayi City",0.2997,0.6366,41,64,0.7165728002954482,0.672143029717323,0.6228511764925234,0.4799903118828483,0.3380675868633984,0.3546349797477588,0.5822432507653771,0.7786659261756947,0.7433299358474729,0.7540779159078311,50417
"West, Chiayi City",0.2482,0.6392,39.8896,60.2,0.7322931195683828,0.6792493562165579,0.6241698841698842,0.502835655282949,0.31729854815190517,0.3323983391968559,0.5853103402445508,0.7827983484283431,0.7469741411280807,0.778218151540383,60064
"Alishan, Chiayi",0.1094,0.6877,41.256100000000004,56.7,0.8264733395696913,0.7174738841405508,0.6046401515151515,0.3206913106096976,0.2105009633911368,0.2107843137254902,0.5842754367934224,0.8134422110552764,0.8066037735849056,0.7938144329896907,1592
"Budai, Chiayi",0.1424,0.7004,46.3266,55.7,0.7852648855657883,0.7142075506109794,0.6322792308393329,0.5035733428622476,0.2726153263237662,0.2918701522550991,0.6164397177218964,0.7929358071237226,0.7478481012658228,0.7638613861386139,10079
"Dapu, Chiayi",0.1327,0.7063,43,53.3,0.7598274209012464,0.7038647342995169,0.6089438629876308,0.46403049070986185,0.2962245885769603,0.3121614967996061,0.5962128966223132,0.7986646122239343,0.768595041322314,0.7713992824192721,1947
"Dalin, Chiayi",0.1899,0.6781,45.7189,58,0.7723194257514581,0.69137302551640345,0.6040544584081389,0.5032742967703527,0.3026325947656913,0.32780602268283143,0.5748063266623629,0.7906285163157049,0.7503088198962365,0.7656564032478496,12442
"Dongshih, Chiayi",0.1056,0.7195,46.1766,51.5,0.8088578088578089,0.7247177798682972,0.6463197819130022,0.5319148936170213,0.25653326600176746,0.27631245244737507,0.6016949152542372,0.7844344138968677,0.7427191166321601,0.7441958041958042,7311
"Fanlu, Chiayi",0.145,0.7034,46.6806,53.9,0.7948384701076866,0.7205854400304125,0.6162812558751645,0.4564688260625351,0.2579912994136561,0.27541235136171843,0.569458325004997,0.8085821633379474,0.7791583166332665,0.7783719548425431,5057
"Lioujiao, Chiayi",0.1309,0.7085,50,54.8,0.7956419316843345,0.7098214285714286,0.6215153681200858,0.5597729691379922,0.2970859089188848,0.32713375796178346,0.5888539816964895,0.7946118965057348,0.7464539007092199,0.7584580132093274,7498
"Lucao, Chiayi",0.1383,0.7153,50,54.2,0.7607913669064749,0.6871404399323181,0.6113946978429112,0.5580242966751918,0.31641431520991053,0.34882908074099966,0.5900755124056095,0.7828022075841197,0.7523407380209289,0.7529284555775816,5617
"Meishan, Chiayi",0.1533,0.7027,47,56.1,0.7761261261261261,0.6967676311030742,0.6280590955227248,0.4978216005503325,0.28978204827747833,0.30729411764705883,0.5822521419828641,0.7868147617341454,0.7534196384953591,0.7671681630672167,8373
"Minsyong, Chiayi",0.2044,0.6513,41.5077,57.7,0.7584922479386202,0.689161751909504,0.6166261825620046,0.5154311065389314,0.31641692738350075,0.3352626151747996,0.5764612243485483,0.7736104071633721,0.7385132354958167,0.7556513474984726,29595
"Puzih, Chiayi",0.2045,0.6636,42,61.3,0.7654137911367136,0.6937704153056463,0.6191950464396285,0.5144508670520231,0.29817033196257225,0.3238436287675321,0.5834160258000496,0.7868336623889437,0.7579525372380712,0.7693018101219061,16208
"Shueishang, Chiayi",0.1706,0.6579,44,55,0.7768550763461023,0.6886817936250675,0.6173471679468175,0.5078030132673712,0.3035772585233898,0.31480699779560056,0.5918297789463434,0.7745060425858431,0.7382358636715725,0.7501574536117436,20852
"Taibao, Chiayi",0.1898,0.6622,39.7135,62.9,0.7560404339250493,0.6871671002105785,0.6089939958338438,0.4974431643151993,0.3105060858424087,0.3343802076656839,0.5897608169846815,0.7853902601734489,0.7407757805108799,0.7605370382739964,14990
"Sikou, Chiayi",0.1366,0.6932,47.9677,53.4,0.7736024844720497,0.7253443090074403,0.6335866025740425,0.5743431221020092,0.3264518294729775,0.34340006786562605,0.5695317959468903,0.7732173913043479,0.739247311827957,0.7433751743375174,5750
"Singang, Chiayi",0.1594,0.6817,44.6019,58.5,0.771955981540646,0.6907706945765937,0.6172421249909897,0.5756252201479394,0.31530920060331824,0.33495784017946933,0.581902403961345,0.7720766523269457,0.7361211247296323,0.7547907704341025,12785
"Yijhu, Chiayi",0.1415,0.7216,50,54.7,0.7696262854276398,0.7020072053525476,0.6295023545882652,0.5415490364551369,0.2972255409531395,0.328653563310603,0.6068269762299613,0.7922113289760349,0.7514874775148748,0.7617554858934169,7344
"Jhongpu, Chiayi",0.1639,0.6687,43,54.2,0.7697409093463722,0.6935858900924403,0.6080746738641476,0.5073466354124978,0.2955604032781086,0.31592054550844945,0.579731651517962,0.7805726845350754,0.7472500308985293,0.7625360584300006,16379
"Jhuci, Chiayi",0.1454,0.6882,45.2546,53.9,0.785297325036885,0.7115372323426015,0.6210580512292444,0.500775594622544,0.27975794653544356,0.297349882589735,0.5695774647887324,0.7857747074580572,0.7549033441512629,0.7632754342431762,14186
"Jincheng, Kinmen",0.3139,0.6829,42.848,71.8,0.7940828402366864,0.7427099841521395,0.647324255858138,0.22858957060084134,0.25552200858096297,0.2574674292977439,0.6696866428393318,0.8546497728902701,0.835702746365105,0.8412801559580863,12549
"Jinhu, Kinmen",0.2877,0.6851,41.1175,72,0.7966869133075649,0.741036741036741,0.6528226255428126,0.233668903803132,0.23439054039120344,0.2498334443704197,0.6714835100804102,0.85188499832196,0.8371386795636037,0.8267406893361092,8939
"Jinning, Kinmen",0.271,0.6197,39,71,0.7224895076261644,0.6659836065573771,0.5983293802206868,0.2585904447425446,0.3103271459337504,0.32536179821410244,0.6517857142857143,0.8439635535307517,0.8108563012833999,0.8211552573645036,9658
"Jinsha, Kinmen",0.2582,0.6966,45,68.6,0.8333865814696486,0.7803310300498152,0.6845314505776636,0.21461847389558233,0.1908653846153846,0.2020883534136546,0.6697370624685982,0.8583782019905368,0.8414533443435177,0.8492604287851089,6129
"Lieyu, Kinmen",0.2467,0.7054,45,67.9,0.8153998025666338,0.7604270109235353,0.6770729270729271,0.19530284301606923,0.20241023118544024,0.21346106607713092,0.7055569524767412,0.8751233958538993,0.8598790322580645,0.8559556786703602,4052
"Wuciou, Kinmen",0.2369,0.6802,41,75.4,0.8471337579617835,0.7861635220125787,0.710691823899371,0.2721518987341772,0.22981366459627328,0.2331288343558282,0.6050955414012739,0.8961038961038961,0.8709677419354839,0.8766233766233766,154
"Beigan, Lienchiang",0.277,0.6811,42.7333,70.3,0.7804878048780488,0.7481343283582089,0.6726415094339623,0.20131086142322097,0.2295539033457249,0.24698235840297122,0.6778523489932886,0.8663507109004739,0.8641148325358852,0.8457142857142858,1055
"Dongyin, Lienchiang",0.234,0.6456,37.3333,86.4,0.7526132404181185,0.7017543859649122,0.5909090909090909,0.2206148282097649,0.48741007194244607,0.29359430604982206,0.6389891696750902,0.9078014184397163,0.8612099644128114,0.8827708703374778,564
"Jyuguang, Lienchiang",0.2587,0.692,45.2857,75.2,0.7648578811369509,0.7074122236671001,0.6177248677248677,0.23722149410222804,0.24438573315719947,0.2631578947368421,0.6914600550964187,0.871447902571042,0.8310626702997275,0.8469945355191257,739
"Nangan, Lienchiang",0.2932,0.6589,39.9167,79.5,0.7824307304785895,0.7497642250864508,0.6630778974034199,0.20678818353236958,0.24788202070913085,0.2660607959887183,0.7090850515463918,0.8831210191082802,0.8643472709862752,0.8739656269891789,3140
"Dahu, Miaoli",0.1546,0.6946,46,55.2,0.7816056118472331,0.7040784065760354,0.6082523498486538,0.35776942355889724,0.26855406269993604,0.3048016701461378,0.6013836270795585,0.8185155626496409,0.7818976683937824,0.7826792085630879,6265
"Gongguan, Miaoli",0.2101,0.6679,41.9947,59.6,0.7679788039364118,0.6929566662405726,0.5888860468090549,0.37383594846281415,0.27239981990094553,0.2953464455585551,0.6096409574468085,0.8067173232871464,0.7807469204197354,0.7840931260974182,15661
"Houlong, Miaoli",0.1713,0.6723,42.2734,55.4,0.7687918630612751,0.6799451405772707,0.587531328320802,0.45494683166469746,0.2927138064189403,0.3169634370445472,0.5775879066710483,0.7898187427689934,0.7480886354801088,0.7618892082571205,15558
"Miaoli, Miaoli",0.267,0.6595,41,63.6,0.763702009868817,0.713232431380183,0.6296133888767084,0.3317483806797506,0.2808195760476702,0.31449403014288513,0.6290455601929373,0.8270961745426083,0.8013999553205748,0.8164485058039022,40884
"Nanjhuang, Miaoli",0.1196,0.692,46,51.8,0.788152120916626,0.690846286701209,0.5834975369458129,0.3724666337123084,0.26904055390702275,0.2922093880560334,0.5862599333504229,0.7765824368276207,0.7741194486983155,0.7591556459816887,3997
"Sanwan, Miaoli",0.1648,0.7085,47,53.9,0.7900063251106895,0.7049649904519414,0.6013195098963242,0.36148755121336273,0.2543720190779014,0.2750965250965251,0.5909090909090909,0.7910112359550562,0.7653228449688627,0.7571194762684125,3115
"Sanyi, Miaoli",0.1958,0.6713,42.1593,56.9,0.7846509240246407,0.7178492955926069,0.6175479523068947,0.339214934151643,0.253765932792584,0.2795199380565234,0.5809435707678076,0.8272468272468273,0.7992429186790236,0.8089288038526617,7722
"Shihtan, Miaoli",0.1064,0.7297,52,54.1,0.820230607966457,0.7425847457627118,0.62486602357985,0.3524804177545692,0.23478729133010232,0.26464323748668794,0.6272479564032698,0.8272921108742004,0.7960308710033076,0.7949561403508771,1876
"Tai-an, Miaoli",0.0838,0.7135,42,57.9,0.8145040455498951,0.7218045112781954,0.6193233770192015,0.3331273176761434,0.22239216885897828,0.23783287419651056,0.5697977821265493,0.803446075303127,0.7789913266945069,0.7767683322517845,3134
"Tongsiao, Miaoli",0.1675,0.6754,44,53.4,0.7756985222946376,0.6985596037280845,0.6154799165362546,0.45524262858653974,0.29279706999457406,0.3092167775213791,0.5837455830388693,0.775143875034256,0.7273993592422343,0.7505751132798885,14596
"Tongluo, Miaoli",0.1883,0.6789,44,57.5,0.7717710371819961,0.7087031558185405,0.5916172106824926,0.3560624542571359,0.26800587947084764,0.2879941075374417,0.6112852664576802,0.8204440107343255,0.8002980625931445,0.7925089916904378,8198
"Toufen, Miaoli",0.2543,0.671,38,62.2,0.7605246502695271,0.705349704012278,0.6307492172685981,0.3603853870405891,0.2842448291915139,0.2968362831858407,0.5981713185755534,0.8096731557606577,0.790872890176026,0.7976203940374132,44639
"Touwu, Miaoli",0.1828,0.6907,44.86,58.3,0.7803586678052946,0.73713298791019,0.6186352615171459,0.39102893340181477,0.27472717824354753,0.2926618206992039,0.6135957066189625,0.824852890273451,0.7961011591148578,0.7490361023484052,5778
"Sihu, Miaoli",0.1519,0.7132,49,58.3,0.7872592592592592,0.7042719614921781,0.596316425120773,0.3638272345530894,0.28056900726392253,0.3013740458015267,0.5914214151534126,0.8153247530679437,0.7964274715121651,0.7853435114503817,3341
"Yuanli, Miaoli",0.1747,0.6652,41,52.5,0.7782110307244198,0.6965846284661533,0.6077182643410485,0.476109537299339,0.27696007696007696,0.30034146106862886,0.580426939266386,0.7823365445743068,0.7415942388875093,0.7693708772275278,20449
"Zaociao, Miaoli",0.1914,0.6824,43,55.9,0.7807133421400264,0.7022938829787234,0.6051882845188284,0.38271812080536916,0.27265043948613926,0.2864864864864865,0.5893820713664055,0.8040677966101695,0.7801272133402097,0.7834077636551013,5900
"Jhunan, Miaoli",0.2757,0.6678,37.7051,63.5,0.7478738292604156,0.6940326769097598,0.6187126561651276,0.41168810027673775,0.3074367001702642,0.3200799036777583,0.5936443542934415,0.8068310461937764,0.7821898299405211,0.7896578538102644,36217
"Jhuolan, Miaoli",0.1695,0.6887,44.9157,54,0.7696764847899565,0.6915715863084284,0.6142910124860922,0.4342870711148047,0.2767241379310345,0.28962019052332055,0.6138817480719795,0.8099462701486942,0.7723649247121346,0.7726983318477015,8003
"Puli, Nantou",0.1802,0.6484,42.9468,51.4,0.7809999207669757,0.7028154608096469,0.6098983014748949,0.3833014090420089,0.263821506637522,0.2918785802237807,0.6164689462665737,0.8344473426801434,0.8062072939820532,0.80276759379221,36804
"Caotun, Nantou",0.2276,0.653,41,56.6,0.7572466884569069,0.6909956107948373,0.6021022973558734,0.4216574490520562,0.28585098516810925,0.31362467866323906,0.6165682068330376,0.8199030093669036,0.793707935514165,0.7971017733747792,45159
"Guosing, Nantou",0.1183,0.6911,47.4924,47.8,0.8016510234083456,0.7187357371063441,0.6039866344048853,0.3974358974358974,0.2591286543055398,0.2583732057416268,0.6131560199477559,0.8278451761987291,0.7805941994812544,0.7854370074108928,8655
"Jiji, Nantou",0.1605,0.6932,46.3654,57.6,0.7664829944898347,0.6851356515093618,0.5746684605035557,0.4166666666666667,0.28263380824027723,0.30015372790161415,0.6224325412807088,0.7956190103657343,0.7967415060600039,0.7835030956660675,5113
"Lugu, Nantou",0.161,0.715,48,54.7,0.7980271270036992,0.7094603016328057,0.5817613991255466,0.41652490886998783,0.31874059207225286,0.28259250062080954,0.6253098499673843,0.8255109765329296,0.7972955569864778,0.7917202365646696,7926
"Mingjian, Nantou",0.1629,0.6763,44,52.3,0.7700826621449767,0.7030825746685833,0.6134753661784288,0.46328214770709286,0.26968388506850044,0.2911392405063291,0.6172482773949767,0.815251186385207,0.7882952782088228,0.7826327433628318,18333
"Nantou, Nantou",0.2528,0.649,41,58,0.7638645888432274,0.7038067379876041,0.6272970707875963,0.41277756294140394,0.27947553381697116,0.2974282137066152,0.6246306458421275,0.8223454210711404,0.798161648177496,0.8021173152610864,48341
"Ren-ai, Nantou",0.0946,0.69,37,56,0.8266164105537837,0.7502150845999427,0.6360860715324222,0.35347877358490565,0.26940035273368607,0.25055432372505543,0.633147723550606,0.8235389347579731,0.810505645557192,0.7708741030658839,6177
"Shueili, Nantou",0.1431,0.6778,47,51.4,0.780749969463784,0.7081587379837319,0.6015779092702169,0.4115076474872542,0.272850790513834,0.286806411837238,0.6190905577740564,0.8207487709567629,0.7796761443325259,0.7839458907605922,7933
